"DutyCycle_percent","Green_peak_nm","Green_intensity","Red_peak_nm","Red_intensity","Blue_peak_nm","Blue_intensity"
"5","512.83","54.15","","","",""
"10","512.83","90.76","","","",""
"15","511.35","115.89","","","",""
"20","511.35","136.27","","","",""
"25","511.35","153.70","","","",""
"30","511.35","166.49","","","",""
"35","509.88","175.61","","","",""
"40","508.40","180.06","","","",""
"45","508.40","181.38","","","",""
"50","505.45","181.73","","","",""
"55","502.50","181.63","","","",""
"60","502.50","182.41","","","",""
"65","502.50","184.04","","","",""
"70","502.50","184.55","","","",""
"75","502.50","184.13","","","",""
"80","502.50","184.17","","","",""
"85","502.50","183.85","","","",""
"90","502.50","182.96","","","",""
"95","502.50","182.44","","","",""
"100","502.50","181.51","","","",""
