"DutyCycle_percent","Green_peak_nm","Green_intensity","Red_peak_nm","Red_intensity","Blue_peak_nm","Blue_intensity"
"1","512.63","13.29","617.37","17.54","453.06","8.73"
"2","512.49","24.92","617.50","33.77","453.25","17.58"
"3","511.47","38.02","617.73","46.94","452.58","28.71"
"4","512.02","48.61","617.81","55.35","452.70","36.90"
"5","511.93","60.59","617.96","62.51","452.41","45.74"
"6","512.34","67.88","617.94","68.13","452.65","51.45"
"7","512.07","76.27","617.86","76.49","452.19","58.88"
"8","511.99","89.24","618.13","79.55","452.55","67.90"
"9","511.41","96.50","617.92","81.21","452.17","73.39"
"10","511.34","101.75","618.06","81.81","452.21","74.98"
