lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
372.710693,-6.951017e-03,6.497992e-02,2.197048e+00,-7.146131e-03,1.970883e-02,1.928437e+00,-8.349077e-03,2.407664e-01,3.781588e+00,-477043.534994,346753.955655,100358.106802,0.108487,2.960393
375.731171,-1.540221e-03,2.093743e-02,2.132636e+00,-3.461527e-03,-1.692644e-02,1.898711e+00,-6.898309e-03,2.223754e-01,3.788432e+00,121.316435,-17.824647,-9.686478,0.007726,5.032338
378.657806,-1.005287e-03,3.024162e-02,1.981775e+00,-6.007095e-04,-4.210317e-02,1.903545e+00,-3.956399e-03,1.611130e-01,3.943711e+00,351.540697,-77.869061,-88.223378,0.039592,2.754074
381.685669,-2.623869e-03,4.700544e-02,1.954835e+00,-3.316721e-04,-3.759159e-02,1.903258e+00,-1.598221e-03,1.100621e-01,4.033707e+00,256.492667,-42.145217,-72.008440,0.382878,5.112108
384.619354,2.663865e-03,-3.265636e-02,2.347056e+00,-5.602212e-03,2.759288e-02,1.787498e+00,5.700540e-03,3.432237e-02,4.409622e+00,-8.087030,58.104746,7.457613,0.472028,4.400300
387.654449,7.782715e-03,-8.674021e-02,2.515733e+00,-7.584372e-03,5.913305e-02,1.692740e+00,1.092136e-02,-8.442937e-03,4.691640e+00,-27.125452,61.870909,12.630055,0.532074,3.699979
390.693146,7.719299e-03,-8.031698e-02,2.421784e+00,-5.676829e-03,3.424009e-02,1.705743e+00,8.315482e-03,3.006856e-02,4.622079e+00,-24.601913,65.036344,13.759003,0.258001,5.641411
393.637299,4.170072e-03,-3.859723e-02,2.264081e+00,-2.151483e-03,-2.375174e-02,1.846416e+00,6.974040e-03,5.908698e-02,4.492817e+00,-71.290185,60.293784,27.879176,0.109471,5.867860
396.683075,7.280738e-04,3.444758e-03,2.081132e+00,8.614550e-03,-1.681945e-01,2.075852e+00,-1.167737e-02,3.150569e-01,3.881017e+00,899.843715,-415.683100,-218.761489,0.181950,5.719744
399.633972,-1.420718e-04,7.153622e-03,2.081826e+00,1.474933e-02,-2.412232e-01,2.139897e+00,-2.614558e-02,5.144110e-01,3.469585e+00,57.670706,24.107942,5.984703,0.180668,3.257052
402.686706,-2.510960e-03,3.142354e-02,2.056637e+00,1.243220e-02,-2.140141e-01,2.102473e+00,-1.839541e-02,4.358327e-01,3.511360e+00,51.587192,4.529473,2.402892,0.038548,7.231123
405.742920,4.959364e-03,-4.227618e-02,2.216300e+00,8.660213e-03,-1.428875e-01,1.993483e+00,-1.058587e-02,3.047063e-01,3.782609e+00,-238.904702,228.592775,74.656221,0.005158,9.391843
408.703857,2.166320e-02,-2.007977e-01,2.496218e+00,9.498839e-03,-9.316254e-02,1.865742e+00,3.445949e-03,1.145181e-01,4.282690e+00,-97.409831,201.815331,14.074691,0.173604,5.389266
