lambda_nm,beta_1,beta_2,beta_3,R2,RMSE
372.710693,1.170377e+01,1.697290e+01,1.244247e+01,-0.276844,6.480754
375.731171,2.597917e+01,2.808830e+01,1.805918e+01,-0.462257,8.773590
378.657806,2.833430e+01,3.338435e+01,1.839644e+01,-2.414809,8.281945
381.685669,2.033432e+01,2.056661e+01,1.397897e+01,-0.619761,8.814447
384.619354,2.461745e+01,1.020864e+01,9.030207e+00,-0.027411,6.609368
387.654449,1.929199e+01,1.469553e+01,7.516479e+00,-0.090759,6.715269
390.693146,3.938662e+01,1.290715e+01,2.528831e+00,-0.692541,7.782970
393.637299,1.726255e+01,1.060247e+01,5.319342e+00,-0.067894,7.529116
396.683075,2.964871e+01,2.933174e+01,1.232339e+01,-0.106910,8.836079
399.633972,4.001108e+01,3.234176e+01,1.080835e+01,-0.537139,7.130702
402.686706,2.298695e+01,1.846089e+01,1.031093e+01,-0.165421,7.187400
405.742920,5.366394e+01,3.114510e+01,8.898473e+00,-0.503740,10.240186
408.703857,4.045201e+01,3.125028e+01,1.165219e+01,-1.905610,12.501136
411.766815,2.328516e+01,2.604368e+01,1.168639e+01,-0.463738,10.071244
414.734192,1.423243e+01,2.015241e+01,1.757369e+01,0.314373,8.238658
417.803803,1.643351e+01,2.259608e+01,1.954668e+01,0.495750,10.549140
420.876740,2.248068e+01,1.179252e+01,1.285898e+01,0.897992,7.788576
423.853699,2.393300e+01,4.556225e+00,1.227956e+01,0.943624,9.473213
426.933075,4.937512e+01,3.433159e+01,6.477965e+00,0.930007,17.730963
430.015686,3.429461e+01,3.694156e+01,6.276426e+00,0.979646,16.607324
433.001923,2.927184e+01,6.183150e+01,1.698365e+00,0.992213,16.596605
436.090820,4.606629e+01,7.811125e+01,-1.148243e+00,0.992753,26.454745
439.083038,7.299239e+01,6.005831e+01,-1.113278e+00,0.978734,69.595266
442.178101,1.041187e+02,-1.730750e+01,7.138402e+00,0.991171,68.986218
445.276184,8.004013e+01,1.346656e+01,5.263991e+00,0.996360,66.517356
448.277283,3.765809e+01,5.624086e+01,4.007212e+00,0.996871,90.233904
451.381348,-3.295741e+01,9.779564e+01,3.798754e+00,0.999163,66.430720
454.388153,-1.416799e+01,1.156642e+02,4.782516e+00,0.998490,112.398459
457.498077,4.319036e+00,1.106103e+02,9.767486e+00,0.998778,106.052118
460.610931,-1.148200e+01,9.753231e+01,1.245599e+01,0.999240,71.125948
463.626099,-3.203012e+00,7.329590e+01,1.484643e+01,0.998860,65.793846
466.744598,4.306941e+01,4.330125e+01,2.148528e+01,0.997549,75.252993
469.765198,4.003905e+01,1.589804e+01,3.023194e+01,0.995266,88.665410
472.889252,4.407908e+01,1.541485e+01,3.496124e+01,0.989955,104.940401
476.016052,-1.269547e+01,1.109369e+02,1.896744e+01,0.988029,87.025448
479.044586,-2.721714e+01,1.138943e+02,2.802687e+01,0.965394,104.601929
482.176758,3.405300e+01,-7.306235e+01,6.925809e+01,0.929112,104.034117
485.210419,5.207930e+01,-1.838044e+02,1.086668e+02,0.859336,117.847334
488.347809,5.914222e+01,5.298283e+01,5.958755e+00,0.421337,256.768287
491.487762,1.088144e+02,-7.553726e+00,1.648406e+01,0.817575,198.288372
494.528961,1.502128e+02,-4.106052e+01,3.211252e+01,0.970806,117.099738
497.673981,9.790617e+01,-5.696031e+01,5.100613e+01,0.992800,85.368036
500.719940,3.884234e+01,-5.897848e+01,7.433132e+01,0.994507,104.168302
503.869904,-2.133076e+01,-9.330427e+00,6.272631e+01,0.998458,75.586235
507.022278,-3.602243e+01,-2.195935e+01,9.273200e+01,0.997879,114.546358
510.075317,-4.614528e+01,7.305279e+00,7.771920e+01,0.996708,172.226984
513.232422,3.818640e+01,7.697471e+01,-1.430766e+01,0.994495,250.068811
516.290039,1.185583e+02,1.030400e+02,-6.343375e+01,0.997208,181.526948
519.451721,1.550603e+02,9.688581e+01,-5.340494e+01,0.998704,119.091641
522.615784,1.538422e+02,8.805575e+01,-3.972367e+01,0.999009,92.406546
525.679932,1.490443e+02,8.264010e+01,-3.688412e+01,0.998875,84.001820
528.848389,9.985105e+01,7.238464e+01,-3.407825e+00,0.998294,87.651808
532.019043,6.507201e+01,6.742976e+01,-3.195394e+00,0.998763,63.045667
535.089539,5.172341e+01,6.827916e+01,1.501461e+01,0.999549,32.704516
538.264465,2.159401e+01,7.324318e+01,4.658459e+01,0.999329,34.472488
541.338928,3.896839e-01,8.259624e+01,4.105460e+01,0.996795,64.218588
544.517944,1.320443e+01,9.050965e+01,2.433073e+01,0.997653,45.187637
547.699036,4.438767e+01,1.028435e+02,9.929977e+00,0.998523,29.878669
550.779358,6.765562e+01,1.188264e+02,-2.323351e-02,0.997981,28.920237
553.964356,8.252398e+01,1.384535e+02,-2.771077e+01,0.998327,21.803325
557.048523,8.937298e+01,1.523978e+02,-4.930937e+01,0.994024,35.023030
560.237305,1.032465e+02,1.680292e+02,-3.575741e+01,0.992245,33.872411
563.428040,1.031036e+02,2.272824e+02,-8.376101e+01,0.984075,40.857662
566.517517,1.100186e+02,2.266038e+02,-6.693506e+01,0.974838,41.790026
569.711792,1.018612e+02,2.522895e+02,-7.346614e+01,0.966208,40.264863
572.804810,4.564239e+01,3.247146e+02,-8.128814e+01,0.950409,39.965366
576.002625,-1.778356e+01,3.703154e+02,-8.244401e+01,0.860227,54.465305
579.202148,-1.100388e+02,2.265190e+02,5.298758e+01,0.583678,74.629300
582.300049,-1.194417e+02,2.204237e+02,5.054283e+01,0.554591,62.681037
585.502869,-2.381576e+01,8.275219e+01,4.664461e+01,0.470477,63.037093
588.603943,-2.015482e+00,4.964657e+01,5.897004e+01,0.885929,51.290398
591.809998,-1.587621e+00,4.586643e+01,8.466838e+01,0.972789,45.109459
595.017578,6.293563e+00,4.287214e+01,5.660186e+01,0.990994,41.295387
598.123169,1.340164e+01,4.064912e+01,3.757423e+01,0.995981,40.923753
601.333740,1.417889e+01,2.384882e+01,5.890756e+01,0.995771,61.362235
604.442078,1.628201e+01,-2.354073e+01,7.117879e+01,0.992484,117.327568
607.655640,1.929627e+01,-7.663742e+01,8.044885e+01,0.982803,256.938167
610.870483,2.332863e+01,-1.350310e+02,1.011268e+02,0.975297,443.644873
613.982910,6.368506e+01,4.378031e+02,-1.828455e+02,0.967096,714.686716
617.200500,7.811907e+01,4.830464e+02,-2.150767e+02,0.952690,1181.206633
620.315430,-1.834790e+00,-1.786240e+03,8.828647e+02,0.991649,648.961082
623.535522,7.833716e+01,-1.276672e+03,6.485658e+02,0.999244,261.417839
626.756958,1.893116e+02,-1.307674e+03,6.034821e+02,0.998255,501.326559
629.875488,4.001316e+02,6.082138e+02,-4.164372e+02,0.997517,608.171624
633.099243,5.018932e+02,1.437266e+03,-8.556186e+02,0.991457,749.958605
636.324158,4.698465e+02,-1.251086e+02,-1.006553e+02,0.985912,478.125397
639.446045,4.736961e+02,6.668768e+02,-5.167954e+02,0.991793,181.284078
642.673157,5.127733e+02,4.367412e+02,-4.220482e+02,0.993925,80.960117
645.797058,4.852542e+02,5.452803e+01,-2.203156e+02,0.978051,85.172123
649.026184,3.308429e+02,3.631477e+01,-1.325912e+02,0.945282,73.718436
652.256348,2.727894e+02,-7.638672e+00,-7.203340e+01,0.961610,36.992335
655.383118,2.231837e+02,7.298881e+00,-5.246587e+01,0.915853,33.520942
658.615173,1.478974e+02,-6.506042e+01,6.140679e+00,0.918899,20.331609
661.743713,9.600333e+01,-4.204585e+01,3.417315e+01,0.805572,19.762384
664.977478,5.043730e+01,-3.864377e+01,4.121974e+01,0.810679,13.261921
668.211975,1.556817e+01,-4.854696e+01,6.244200e+01,0.429311,17.244454
671.343018,1.403955e+01,-2.428499e+01,6.184379e+01,-0.050340,14.796541
674.579102,2.811559e+01,-2.808557e+01,8.058435e+01,-0.327314,14.191240
677.711548,4.655435e+01,3.110244e+00,4.515817e+01,-0.439699,11.278651
680.949036,3.019405e+01,-6.866087e-01,4.185776e+01,-1.243095,12.671629
