lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
372.710693,-2.150442e-03,-6.461812e-03,2.438151e+00,2.252086e-03,1.810307e-02,1.676239e+00,3.714933e-03,-5.500726e-02,4.545034e+00,-16.257406,17.181391,27.484477,0.390547,3.402488
375.731171,-2.051804e-03,-2.422602e-02,2.589334e+00,2.602229e-03,7.134313e-03,1.630487e+00,2.214875e-03,-4.570904e-02,4.480688e+00,147.850656,114.702239,-85.359341,0.285128,5.046134
378.657806,2.482555e-04,-4.484796e-02,2.594685e+00,2.445558e-03,1.849764e-02,1.534693e+00,1.143107e-03,-2.246767e-02,4.296836e+00,-250.824942,-170.398036,257.314956,0.227129,2.894517
381.685669,3.670749e-04,-2.550327e-02,2.391271e+00,-4.213840e-04,6.543799e-02,1.406097e+00,-4.973608e-04,1.311385e-02,4.105710e+00,-935.738538,-425.678402,722.559524,0.562456,3.425985
384.619354,2.080643e-04,-1.364422e-02,2.270993e+00,-4.493315e-03,6.588605e-02,1.679676e+00,9.092450e-04,-2.640785e-03,4.240333e+00,73.088385,70.154383,-42.472246,0.225111,4.565782
387.654449,2.029985e-04,-1.984858e-02,2.304851e+00,-5.769518e-03,3.332107e-02,2.011286e+00,4.207561e-03,-4.647556e-02,4.428672e+00,-54.617176,47.486041,30.478605,0.093860,5.524251
390.693146,-1.796488e-03,1.071602e-02,2.182704e+00,-6.135083e-03,4.948727e-02,1.890254e+00,3.616055e-03,-3.357811e-02,4.349369e+00,128.233778,-56.552247,-11.499355,0.031976,4.511977
393.637299,-1.441534e-03,1.617174e-02,2.084111e+00,-4.380142e-03,4.094094e-02,1.820895e+00,3.650521e-03,-3.055508e-02,4.291269e+00,-561.073350,312.461789,159.994466,0.163338,5.883825
396.683075,-3.568995e-04,-1.147508e-03,2.109772e+00,-7.609040e-04,6.560729e-03,1.816758e+00,4.737015e-03,-4.894807e-02,4.391787e+00,-246.766158,442.048676,-28.029197,0.204210,5.841965
399.633972,2.862490e-04,-1.881478e-02,2.177269e+00,-1.210172e-04,6.186613e-03,1.713810e+00,4.524571e-03,-4.942401e-02,4.422497e+00,33.690560,168.592135,-41.657821,0.217910,3.127980
402.686706,9.795291e-04,-2.626723e-02,2.200307e+00,-2.312865e-03,2.415829e-02,1.683176e+00,7.215528e-03,-6.967983e-02,4.409404e+00,38.785201,-48.923651,29.134198,0.288942,4.277328
405.742920,6.381296e-04,-1.910470e-02,2.214751e+00,-2.665414e-03,4.269970e-02,1.598022e+00,9.199846e-03,-7.733507e-02,4.326515e+00,79.474249,67.410881,-19.085365,0.134861,6.737522
408.703857,1.962314e-03,-4.438646e-02,2.373646e+00,-1.596892e-03,6.062347e-02,1.462780e+00,4.680627e-03,-3.478050e-02,4.179453e+00,134.342372,84.782631,-61.062112,0.201862,3.360317
411.766815,5.786240e-03,-9.293158e-02,2.512515e+00,-3.874307e-03,9.447050e-02,1.374148e+00,3.643747e-03,-2.359525e-02,4.121800e+00,65.289486,73.973295,-31.262500,0.312850,6.000644
414.734192,5.097768e-03,-8.258041e-02,2.466192e+00,-9.398292e-03,1.571641e-01,1.249007e+00,4.823662e-03,-2.634346e-02,4.061957e+00,130.614743,79.866880,-70.533838,0.526665,4.093900
417.803803,1.099135e-03,-2.410555e-02,2.260232e+00,-9.795260e-03,1.521733e-01,1.383842e+00,2.347928e-03,-9.040492e-04,4.044847e+00,47.382235,21.096802,4.204649,0.086960,5.564574
420.876740,3.131986e-03,-4.331191e-02,2.312764e+00,-5.958673e-03,1.072088e-01,1.499936e+00,8.431850e-04,7.509508e-03,4.129680e+00,-514.949434,-268.600356,418.015336,0.240572,4.816977
423.853699,1.113351e-02,-1.376220e-01,2.564364e+00,-1.977439e-03,6.587806e-02,1.532771e+00,8.966600e-04,9.143686e-03,4.146557e+00,-63.032865,-57.289146,85.171946,0.282282,5.937435
426.933075,1.468277e-02,-1.854236e-01,2.708493e+00,1.686269e-03,2.335198e-02,1.627512e+00,-3.632048e-03,6.115241e-02,4.026898e+00,-13.577022,-43.639787,74.197116,0.410523,4.729016
430.015686,9.808908e-03,-1.223662e-01,2.513550e+00,8.934364e-04,3.457056e-02,1.635199e+00,-7.428261e-03,1.001842e-01,3.925193e+00,6.134859,-42.623671,54.885093,0.671760,2.758228
433.001923,2.176593e-03,-1.357458e-02,2.127856e+00,8.389109e-04,3.361069e-02,1.701220e+00,-8.910150e-03,1.228061e-01,3.811763e+00,11.165488,-25.912007,50.366936,0.548155,3.017664
436.090820,3.353196e-03,-2.575182e-02,2.106110e+00,2.187361e-03,1.413720e-02,1.725673e+00,-6.441444e-03,9.655204e-02,3.814131e+00,79.929718,-57.129609,41.614426,0.091374,3.504943
439.083038,5.441331e-03,-4.661457e-02,2.082721e+00,5.155430e-03,-2.710195e-02,1.827962e+00,-1.887864e-03,4.699986e-02,3.879046e+00,-59.498047,-3.505067,93.820722,0.649659,4.316235
442.178101,5.006434e-03,-4.188875e-02,2.044753e+00,6.444791e-03,-5.306594e-02,1.963006e+00,1.589431e-03,-6.663994e-03,4.094678e+00,-560.007398,287.276618,190.132383,0.558567,4.230874
445.276184,4.391954e-03,-4.620343e-02,2.096372e+00,5.065453e-03,-4.234192e-02,1.945563e+00,3.487991e-03,-5.426065e-02,4.351201e+00,-500.393658,277.587210,165.918480,0.080469,5.233289
448.277283,5.663162e-03,-5.904123e-02,2.138107e+00,5.009329e-03,-3.269860e-02,1.854367e+00,3.421285e-03,-5.278194e-02,4.439192e+00,-282.917911,151.883184,121.701967,0.393104,4.463293
451.381348,1.100217e-02,-1.173344e-01,2.294175e+00,6.968580e-03,-4.385292e-02,1.818743e+00,5.042014e-03,-6.306275e-02,4.532332e+00,-38.392576,34.078021,35.775571,0.126243,5.322298
454.388153,9.399886e-03,-9.117659e-02,2.261522e+00,3.082078e-03,-9.467212e-03,1.718535e+00,8.312806e-03,-1.033392e-01,4.630597e+00,-52.391097,95.709863,34.145962,0.362593,4.990568
457.498077,6.372694e-03,-5.198670e-02,2.174183e+00,-5.176403e-05,2.818212e-02,1.596725e+00,1.028973e-02,-1.282165e-01,4.763712e+00,-76.130354,104.273726,46.275167,0.364831,3.053402
