lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
372.710693,1.380679e-03,1.237294e-01,1.742808e+00,1.348067e-02,-1.817949e-01,2.078618e+00,-1.909340e-03,5.578338e-02,3.821282e+00,-5.595952,-15.367843,35.843963,0.452025,3.850569
375.731171,3.298396e-03,6.898803e-02,1.894403e+00,7.918109e-03,-1.285428e-01,1.948790e+00,7.184117e-04,1.534536e-02,3.880373e+00,-7.231126,-9.500957,53.555171,0.100772,7.643743
378.657806,2.451081e-03,6.046964e-02,1.903443e+00,7.539112e-03,-1.138864e-01,1.872034e+00,2.453602e-03,-2.765153e-03,3.852009e+00,-42.575986,-46.736262,92.891661,0.138819,4.144695
381.685669,8.001033e-04,6.888331e-02,1.835599e+00,1.042038e-02,-1.271632e-01,1.853949e+00,3.165137e-03,-4.479998e-03,3.788393e+00,-56.315448,-56.807880,89.484239,0.436720,4.252579
384.619354,-2.874675e-04,3.507734e-02,2.057950e+00,5.702019e-03,-5.624913e-02,1.695630e+00,2.113946e-02,-2.293967e-01,4.421976e+00,-115.527402,686.971135,-185.364919,0.025562,3.467365
387.654449,-2.767974e-04,1.238933e-02,2.240197e+00,3.012659e-03,-1.508079e-02,1.603408e+00,3.322104e-02,-3.768163e-01,4.849194e+00,42.990835,-39.086688,15.874938,0.414585,3.812130
390.693146,-1.228593e-03,2.926431e-02,2.120995e+00,-4.268877e-04,1.639097e-02,1.513123e+00,2.950496e-02,-3.178071e-01,4.655041e+00,1083.306075,-1495.659803,18.308459,0.051645,6.060385
393.637299,-8.840601e-04,2.694778e-02,1.984786e+00,-8.398600e-03,9.620870e-02,1.395532e+00,1.532950e-02,-1.428468e-01,4.242694e+00,-132.316840,66.505509,60.483586,0.416246,4.468570
396.683075,1.839708e-03,-7.427765e-03,2.051097e+00,-1.312666e-02,1.346454e-01,1.384104e+00,-3.346901e-03,6.328500e-02,3.835219e+00,34.282209,-4.873918,23.699614,0.162117,7.316490
399.633972,6.458490e-03,-5.202906e-02,2.197659e+00,-1.248012e-02,1.174262e-01,1.338439e+00,-7.123732e-03,9.494728e-02,3.745938e+00,131.527365,126.613041,-73.537287,0.269969,6.325212
402.686706,4.618204e-03,-3.560866e-02,2.219156e+00,-1.382829e-02,1.269721e-01,1.284847e+00,-9.609005e-03,1.185743e-01,3.691140e+00,24.921632,14.854454,11.177933,0.146526,3.618279
405.742920,-2.886195e-03,5.953799e-02,2.024499e+00,-9.451031e-03,7.376804e-02,1.402814e+00,-1.012871e-02,1.313049e-01,3.681509e+00,2935.013917,1333.901289,-2068.202502,0.025669,6.407402
408.703857,-2.287633e-03,1.169466e-01,1.800523e+00,5.720770e-03,-1.080363e-01,1.758736e+00,-6.650198e-03,9.553943e-02,3.788024e+00,0.842188,30.708608,36.493599,0.069582,5.471789
411.766815,2.943953e-03,9.254904e-02,1.842611e+00,1.154537e-02,-1.983220e-01,2.011764e+00,1.492235e-03,4.768950e-04,4.004138e+00,7.912508,13.074570,25.890060,0.105168,6.119067
